Title,Year,Runtime,IMDB_Rating,Metascore,Votes,Description,Decade,Rating_Category,Runtime_Category
The Shawshank Redemption,1994,142,9.3,81.0,34709,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",1990,Excellent,Long (120–180 min)
The Godfather,1972,175,9.2,100.0,34709,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,1970,Excellent,Long (120–180 min)
The Dark Knight,2008,152,9.0,84.0,34709,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2000,Very Good,Long (120–180 min)
The Lord of the Rings: The Return of the King,2003,201,9.0,94.0,34709,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2000,Very Good,Epic (>180 min)
Schindler's List,1993,195,9.0,94.0,34709,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1990,Very Good,Epic (>180 min)
The Godfather: Part II,1974,202,9.0,90.0,34709,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1970,Very Good,Epic (>180 min)
12 Angry Men,1957,96,9.0,96.0,34709,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,1950,Very Good,Standard (90–120 min)
Jai Bhim,2021,164,8.9,78.69,34709,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",2020,Very Good,Long (120–180 min)
Pulp Fiction,1994,154,8.9,94.0,34709,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1990,Very Good,Long (120–180 min)
Inception,2010,148,8.8,74.0,34709,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,Very Good,Long (120–180 min)
The Lord of the Rings: The Two Towers,2002,179,8.8,87.0,34709,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2000,Very Good,Long (120–180 min)
Fight Club,1999,139,8.8,66.0,34709,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,1990,Very Good,Long (120–180 min)
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,34709,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2000,Very Good,Long (120–180 min)
Forrest Gump,1994,142,8.8,82.0,34709,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",1990,Very Good,Long (120–180 min)
"The Good, the Bad and the Ugly",1966,178,8.8,90.0,34709,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1960,Very Good,Long (120–180 min)
Soorarai Pottru,2020,153,8.7,78.69,34709,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",2020,Very Good,Long (120–180 min)
The Matrix,1999,136,8.7,73.0,34709,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1990,Very Good,Long (120–180 min)
Goodfellas,1990,145,8.7,90.0,34709,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",1990,Very Good,Long (120–180 min)
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,34709,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",1980,Very Good,Long (120–180 min)
One Flew Over the Cuckoo's Nest,1975,133,8.7,84.0,34709,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",1970,Very Good,Long (120–180 min)
Vikram,2022,175,8.6,78.69,34709,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",2020,Very Good,Long (120–180 min)
Top Gun: Maverick,2022,130,8.6,78.0,34709,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",2020,Very Good,Long (120–180 min)
Interstellar,2014,169,8.6,74.0,34709,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,2010,Very Good,Long (120–180 min)
City of God,2002,130,8.6,79.0,34709,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2000,Very Good,Long (120–180 min)
Spirited Away,2001,125,8.6,96.0,34709,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",2000,Very Good,Long (120–180 min)
Saving Private Ryan,1998,169,8.6,91.0,34709,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1990,Very Good,Long (120–180 min)
The Green Mile,1999,189,8.6,61.0,34709,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",1990,Very Good,Epic (>180 min)
Life Is Beautiful,1997,116,8.6,59.0,34709,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",1990,Very Good,Standard (90–120 min)
Se7en,1995,127,8.6,65.0,34709,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1990,Very Good,Long (120–180 min)
Terminator 2: Judgment Day,1991,137,8.6,75.0,34709,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",1990,Very Good,Long (120–180 min)
The Silence of the Lambs,1991,118,8.6,85.0,34709,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1990,Very Good,Standard (90–120 min)
Star Wars,1977,121,8.6,90.0,34709,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1970,Very Good,Long (120–180 min)
Harakiri,1962,133,8.6,85.0,34709,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",1960,Very Good,Long (120–180 min)
Seven Samurai,1954,207,8.6,98.0,34709,"""A veteran samurai, gathers six samurais to protect a village from the cruel bandits. As the samurais teach the natives how to defend themselves, the village is attacked by a pack of 40 bandits.",1950,Very Good,Epic (>180 min)
It's a Wonderful Life,1946,130,8.6,89.0,34709,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,1940,Very Good,Long (120–180 min)
Kaithi,2019,145,8.5,78.69,34709,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",2010,Very Good,Long (120–180 min)
Asuran,2019,141,8.5,78.69,34709,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",2010,Very Good,Long (120–180 min)
Parasite,2019,132,8.5,96.0,34709,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2010,Very Good,Long (120–180 min)
Whiplash,2014,106,8.5,88.0,34709,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2010,Very Good,Standard (90–120 min)
The Intouchables,2011,112,8.5,57.0,34709,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2010,Very Good,Standard (90–120 min)
Sardar Udham,2021,164,8.5,78.69,34709,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,2020,Very Good,Long (120–180 min)
The Prestige,2006,130,8.5,66.0,34709,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",2000,Very Good,Long (120–180 min)
The Departed,2006,151,8.5,85.0,34709,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2000,Very Good,Long (120–180 min)
The Pianist,2002,150,8.5,85.0,34709,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,2000,Very Good,Long (120–180 min)
Gladiator,2000,155,8.5,67.0,34709,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000,Very Good,Long (120–180 min)
American History X,1998,119,8.5,62.0,34709,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,1990,Very Good,Standard (90–120 min)
The Usual Suspects,1995,106,8.5,77.0,34709,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",1990,Very Good,Standard (90–120 min)
Léon: The Professional,1994,110,8.5,64.0,34709,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1990,Very Good,Standard (90–120 min)
The Lion King,1994,88,8.5,88.0,34709,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1990,Very Good,Short (<90 min)
Cinema Paradiso,1988,155,8.5,80.0,34709,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,1980,Very Good,Long (120–180 min)
Grave of the Fireflies,1988,89,8.5,94.0,34709,A young boy and his little sister struggle to survive in Japan during World War II.,1980,Very Good,Short (<90 min)
Back to the Future,1985,116,8.5,87.0,34709,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",1980,Very Good,Standard (90–120 min)
Apocalypse Now,1979,147,8.5,94.0,34709,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,1970,Very Good,Long (120–180 min)
Alien,1979,117,8.5,89.0,34709,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,1970,Very Good,Standard (90–120 min)
Once Upon a Time in the West,1968,165,8.5,80.0,34709,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,1960,Very Good,Long (120–180 min)
Psycho,1960,109,8.5,97.0,34709,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",1960,Very Good,Standard (90–120 min)
Rear Window,1954,112,8.5,100.0,34709,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",1950,Very Good,Standard (90–120 min)
Casablanca,1942,102,8.5,100.0,34709,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,1940,Very Good,Standard (90–120 min)
Modern Times,1936,87,8.5,96.0,34709,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1930,Very Good,Short (<90 min)
City Lights,1931,87,8.5,99.0,34709,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1930,Very Good,Short (<90 min)
Capernaum,2018,126,8.4,75.0,34709,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",2010,Very Good,Long (120–180 min)
Joker,2019,122,8.4,59.0,34709,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,2010,Very Good,Long (120–180 min)
96,2018,158,8.4,78.69,34709,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,2010,Very Good,Long (120–180 min)
Your Name.,2016,106,8.4,79.0,34709,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",2010,Very Good,Standard (90–120 min)
Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,34709,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",2010,Very Good,Standard (90–120 min)
Avengers: Endgame,2019,181,8.4,78.0,34709,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2010,Very Good,Epic (>180 min)
Avengers: Infinity War,2018,149,8.4,68.0,34709,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2010,Very Good,Long (120–180 min)
Coco,2017,105,8.4,81.0,34709,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",2010,Very Good,Standard (90–120 min)
Django Unchained,2012,165,8.4,81.0,34709,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",2010,Very Good,Long (120–180 min)
The Dark Knight Rises,2012,164,8.4,78.0,34709,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2010,Very Good,Long (120–180 min)
Drishyam 2,2021,152,8.4,78.69,34709,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,2020,Very Good,Long (120–180 min)
3 Idiots,2009,170,8.4,67.0,34709,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",2000,Very Good,Long (120–180 min)
K.G.F: Chapter 2,2022,168,8.4,78.69,34709,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",2020,Very Good,Long (120–180 min)
Shershaah,2021,135,8.4,78.69,34709,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",2020,Very Good,Long (120–180 min)
WALL·E,2008,98,8.4,95.0,34709,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",2000,Very Good,Standard (90–120 min)
The Lives of Others,2006,137,8.4,89.0,34709,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",2000,Very Good,Long (120–180 min)
Oldboy,2003,120,8.4,77.0,34709,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2000,Very Good,Standard (90–120 min)
Memento,2000,113,8.4,80.0,34709,A man with short-term memory loss attempts to track down his wife's murderer.,2000,Very Good,Standard (90–120 min)
American Beauty,1999,122,8.4,84.0,34709,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1990,Very Good,Long (120–180 min)
Princess Mononoke,1997,134,8.4,76.0,34709,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",1990,Very Good,Long (120–180 min)
Braveheart,1995,178,8.4,68.0,34709,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1990,Very Good,Long (120–180 min)
